北京

月份	aqi	质量等级	pm2_5	pm10	范围	co	no2	so2	o3
2024-07	89	良	27μg/m³	40μg/m³	35~155	0.535mg/m³	3μg/m³	13μg/m³	145μg/m³
2024-08	67	良	16μg/m³	28μg/m³	33~117	0.503mg/m³	3μg/m³	14μg/m³	118μg/m³
2024-09	48	优	17μg/m³	31μg/m³	23~94	0.473mg/m³	3μg/m³	18μg/m³	85μg/m³
2024-10	66	良	42μg/m³	66μg/m³	28~203	0.565mg/m³	30μg/m³	3μg/m³	66μg/m³
2024-11	67	良	42μg/m³	67μg/m³	24~160	0.57mg/m³	32μg/m³	3μg/m³	48μg/m³
2024-12	43	优	18μg/m³	39μg/m³	28~74	0.39mg/m³	3μg/m³	27μg/m³	52μg/m³
2025-01	53	良	29μg/m³	51μg/m³	29~139	0.506mg/m³	4μg/m³	25μg/m³	56μg/m³
2025-02	53	良	26μg/m³	48μg/m³	32~128	0.468mg/m³	4μg/m³	22μg/m³	72μg/m³
2025-03	75	良	39μg/m³	78μg/m³	40~207	0.526mg/m³	4μg/m³	23μg/m³	91μg/m³
2025-04	65	良	28μg/m³	66μg/m³	36~105	0.48mg/m³	5μg/m³	22μg/m³	110μg/m³
2025-05	91	良	32μg/m³	61μg/m³	42~182	0.529mg/m³	4μg/m³	20μg/m³	145μg/m³
2025-06	101	轻度污染	20μg/m³	41μg/m³	43~196	0.446mg/m³	4μg/m³	17μg/m³	158μg/m³
天津									
月份	aqi	质量等级	pm2_5	pm10	范围	co	no2	so2	o3
2013-12	156	中度污染	120μg/m³	203μg/m³	31~371	2.7mg/m³	78μg/m³	129μg/m³	26μg/m³
2014-01	147	轻度污染	113μg/m³	179μg/m³	26~357	2.526mg/m³	71μg/m³	113μg/m³	27μg/m³
2014-02	129	轻度污染	96μg/m³	136μg/m³	31~289	2.079mg/m³	61μg/m³	100μg/m³	44μg/m³
2014-03	150	轻度污染	112μg/m³	173μg/m³	57~252	1.994mg/m³	71μg/m³	69μg/m³	66μg/m³
2014-04	121	轻度污染	85μg/m³	153μg/m³	64~199	1.41mg/m³	56μg/m³	35μg/m³	99μg/m³
2014-05	102	轻度污染	70μg/m³	132μg/m³	44~204	1.348mg/m³	49μg/m³	29μg/m³	116μg/m³
2014-06	97	良	58μg/m³	93μg/m³	47~141	1.387mg/m³	41μg/m³	21μg/m³	146μg/m³
2014-07	117	轻度污染	76μg/m³	114μg/m³	63~177	1.497mg/m³	39μg/m³	22μg/m³	160μg/m³
2014-08	87	良	57μg/m³	100μg/m³	48~134	1.452mg/m³	40μg/m³	20μg/m³	124μg/m³
2014-09	80	良	56μg/m³	87μg/m³	37~150	1.29mg/m³	40μg/m³	21μg/m³	84μg/m³
2014-10	134	轻度污染	99μg/m³	146μg/m³	42~285	1.142mg/m³	53μg/m³	19μg/m³	51μg/m³
2014-11	145	轻度污染	111μg/m³	156μg/m³	50~422	1.887mg/m³	68μg/m³	52μg/m³	43μg/m³
2014-12	144	轻度污染	107μg/m³	154μg/m³	43~378	2.061mg/m³	76μg/m³	65μg/m³	35μg/m³
2015-01	133	轻度污染	100μg/m³	161μg/m³	36~364	2.252mg/m³	76μg/m³	70μg/m³	33μg/m³
2015-02	116	轻度污染	80μg/m³	146μg/m³	42~236	1.746mg/m³	60μg/m³	51μg/m³	49μg/m³
2015-03	117	轻度污染	72μg/m³	166μg/m³	54~274	1.435mg/m³	52μg/m³	37μg/m³	60μg/m³
2015-04	92	良	64μg/m³	109μg/m³	39~145	0.913mg/m³	30μg/m³	15μg/m³	74μg/m³
2015-05	88	良	51μg/m³	90μg/m³	40~156	0.977mg/m³	27μg/m³	14μg/m³	130μg/m³
2015-06	99	良	59μg/m³	92μg/m³	32~175	1.363mg/m³	34μg/m³	15μg/m³	142μg/m³
2015-07	78	良	49μg/m³	88μg/m³	46~122	0.706mg/m³	7μg/m³	18μg/m³	116μg/m³
2015-08	78	良	50μg/m³	94μg/m³	44~149	11mg/m³	1μg/m³	25μg/m³	nanμg/m³
2015-09	68	良	44μg/m³	75μg/m³	27~147	0.87mg/m³	25μg/m³	13μg/m³	81μg/m³
2015-10	86	良	54μg/m³	100μg/m³	37~219	1.058mg/m³	42μg/m³	17μg/m³	70μg/m³
2015-11	119	轻度污染	88μg/m³	133μg/m³	35~345	2.037mg/m³	57μg/m³	36μg/m³	36μg/m³
2015-12	162	中度污染	125μg/m³	189μg/m³	28~391	2.058mg/m³	66μg/m³	45μg/m³	22μg/m³
2016-01	106	轻度污染	74μg/m³	124μg/m³	49~384	1.565mg/m³	58μg/m³	37μg/m³	34μg/m³
2016-02	77	良	50μg/m³	85μg/m³	30~189	1.317mg/m³	42μg/m³	27μg/m³	53μg/m³
2016-03	121	轻度污染	81μg/m³	148μg/m³	49~267	1.516mg/m³	54μg/m³	30μg/m³	62μg/m³
2016-04	100	轻度污染	64μg/m³	128μg/m³	53~273	0.993mg/m³	43μg/m³	19μg/m³	98μg/m³
2016-05	90	良	51μg/m³	93μg/m³	57~154	0.942mg/m³	42μg/m³	17μg/m³	133μg/m³
