北京

月份	aqi	质量等级	pm2_5	pm10	范围	co	no2	so2	o3 
2019-12	134	轻度污染	100μg/m³	143μg/m³	52~319	1.145mg/m³	65μg/m³	15μg/m³	32μg/m³
2020-01	168	中度污染	130μg/m³	144μg/m³	68~278	1.49mg/m³	49μg/m³	13μg/m³	46μg/m³
2020-02	106	轻度污染	74μg/m³	97μg/m³	33~185	0.966mg/m³	29μg/m³	11μg/m³	88μg/m³
2020-03	84	良	47μg/m³	111μg/m³	34~172	0.613mg/m³	9μg/m³	46μg/m³	86μg/m³
2020-04	76	良	39μg/m³	94μg/m³	48~111	0.603mg/m³	9μg/m³	49μg/m³	105μg/m³
2020-05	82	良	28μg/m³	85μg/m³	36~145	0.523mg/m³	7μg/m³	38μg/m³	129μg/m³
2020-06	80	良	25μg/m³	58μg/m³	33~175	0.623mg/m³	6μg/m³	31μg/m³	128μg/m³
2020-07	84	良	26μg/m³	54μg/m³	36~180	0.632mg/m³	5μg/m³	28μg/m³	134μg/m³
2020-08	66	良	22μg/m³	47μg/m³	30~150	0.632mg/m³	5μg/m³	29μg/m³	110μg/m³
2020-09	72	良	33μg/m³	70μg/m³	33~106	0.687mg/m³	7μg/m³	43μg/m³	110μg/m³
2020-10	68	良	37μg/m³	86μg/m³	30~134	0.726mg/m³	7μg/m³	45μg/m³	43μg/m³
2020-11	102	轻度污染	71μg/m³	125μg/m³	33~195	0.923mg/m³	9μg/m³	56μg/m³	50μg/m³
2020-12	112	轻度污染	80μg/m³	120μg/m³	43~205	1.035mg/m³	54μg/m³	13μg/m³	33μg/m³
2021-01	124	轻度污染	75μg/m³	123μg/m³	59~275	1.129mg/m³	61μg/m³	14μg/m³	44μg/m³
2021-02	109	轻度污染	75μg/m³	120μg/m³	52~330	0.996mg/m³	47μg/m³	11μg/m³	67μg/m³
2021-03	147	轻度污染	35μg/m³	79μg/m³	53~500	0.81mg/m³	9μg/m³	50μg/m³	64μg/m³
2021-04	71	良	29μg/m³	57μg/m³	29~142	0.617mg/m³	8μg/m³	41μg/m³	76μg/m³
2021-05	89	良	25μg/m³	55μg/m³	29~222	0.532mg/m³	7μg/m³	41μg/m³	122μg/m³
2021-06	94	良	23μg/m³	58μg/m³	32~201	0.533mg/m³	6μg/m³	32μg/m³	148μg/m³
2021-07	87	良	20μg/m³	46μg/m³	31~192	0.545mg/m³	5μg/m³	26μg/m³	137μg/m³
2021-08	73	良	20μg/m³	42μg/m³	27~182	0.594mg/m³	5μg/m³	24μg/m³	120μg/m³
2021-09	54	良	16μg/m³	32μg/m³	24~117	0.677mg/m³	6μg/m³	24μg/m³	95μg/m³
2021-10	52	良	26μg/m³	56μg/m³	20~89	0.681mg/m³	6μg/m³	34μg/m³	54μg/m³
2021-11	95	良	59μg/m³	126μg/m³	52~208	0.863mg/m³	9μg/m³	55μg/m³	52μg/m³
2021-12	98	良	69μg/m³	99μg/m³	42~189	0.919mg/m³	52μg/m³	10μg/m³	42μg/m³
2022-01	146	轻度污染	110μg/m³	117μg/m³	57~254	1.274mg/m³	9μg/m³	35μg/m³	57μg/m³
2022-02	110	轻度污染	78μg/m³	105μg/m³	42~182	0.907mg/m³	9μg/m³	40μg/m³	73μg/m³
2022-03	127	轻度污染	24μg/m³	45μg/m³	67~464	0.787mg/m³	9μg/m³	49μg/m³	77μg/m³
2022-04	79	良	26μg/m³	57μg/m³	44~123	0.583mg/m³	7μg/m³	42μg/m³	110μg/m³
2022-05	90	良	26μg/m³	62μg/m³	38~152	0.506mg/m³	6μg/m³	35μg/m³	139μg/m³
2022-06	115	轻度污染	34μg/m³	63μg/m³	47~170	0.547mg/m³	7μg/m³	30μg/m³	174μg/m³
2022-07	98	良	21μg/m³	46μg/m³	38~166	0.542mg/m³	5μg/m³	22μg/m³	154μg/m³
2022-08	88	良	22μg/m³	48μg/m³	24~131	0.59mg/m³	5μg/m³	22μg/m³	142μg/m³
2022-09	76	良	33μg/m³	68μg/m³	42~128	0.643mg/m³	7μg/m³	37μg/m³	117μg/m³
2022-10	69	良	45μg/m³	81μg/m³	23~142	0.7mg/m³	7μg/m³	43μg/m³	63μg/m³
2022-11	108	轻度污染	76μg/m³	123μg/m³	33~206	0.877mg/m³	8μg/m³	48μg/m³	42μg/m³
2022-12	126	轻度污染	90μg/m³	152μg/m³	66~250	1.045mg/m³	59μg/m³	11μg/m³	46μg/m³
2023-01	166	中度污染	119μg/m³	189μg/m³	62~342	1.155mg/m³	50μg/m³	11μg/m³	64μg/m³
2023-02	143	轻度污染	109μg/m³	143μg/m³	50~319	1.089mg/m³	49μg/m³	10μg/m³	57μg/m³
2023-03	97	良	55μg/m³	133μg/m³	46~172	0.613mg/m³	9μg/m³	47μg/m³	90μg/m³
2023-04	118	轻度污染	54μg/m³	174μg/m³	29~500	0.57mg/m³	8μg/m³	34μg/m³	103μg/m³
2023-05	70	良	23μg/m³	51μg/m³	29~132	0.519mg/m³	6μg/m³	25μg/m³	110μg/m³
2023-06	98	良	19μg/m³	43μg/m³	37~173	0.453mg/m³	6μg/m³	26μg/m³	155μg/m³
2023-07	104	轻度污染	20μg/m³	48μg/m³	36~203	0.516mg/m³	6μg/m³	23μg/m³	161μg/m³
2023-08	87	良	20μg/m³	46μg/m³	38~134	0.568mg/m³	6μg/m³	22μg/m³	140μg/m³
2023-09	67	良	23μg/m³	45μg/m³	33~130	0.603mg/m³	7μg/m³	24μg/m³	114μg/m³
2023-10	59	良	32μg/m³	64μg/m³	29~89	0.719mg/m³	7μg/m³	42μg/m³	72μg/m³
2023-11	83	良	49μg/m³	101μg/m³	42~169	0.71mg/m³	7μg/m³	48μg/m³	47μg/m³
2023-12	114	轻度污染	80μg/m³	125μg/m³	43~256	1.003mg/m³	6μg/m³	49μg/m³	24μg/m³
2024-01	113	轻度污染	84μg/m³	117μg/m³	35~241	1.039mg/m³	7μg/m³	52μg/m³	51μg/m³
2024-02	138	轻度污染	90μg/m³	159μg/m³	56~500	0.834mg/m³	6μg/m³	26μg/m³	75μg/m³
2024-03	92	良	51μg/m³	121μg/m³	48~288	0.59mg/m³	6μg/m³	41μg/m³	89μg/m³
2024-04	92	良	42μg/m³	114μg/m³	47~315	0.537mg/m³	5μg/m³	33μg/m³	111μg/m³
2024-05	98	良	25μg/m³	64μg/m³	49~141	0.49mg/m³	6μg/m³	25μg/m³	155μg/m³
2024-06	103	轻度污染	21μg/m³	54μg/m³	46~186	0.453mg/m³	6μg/m³	22μg/m³	161μg/m³
2024-07	72	良	20μg/m³	43μg/m³	26~129	0.555mg/m³	5μg/m³	17μg/m³	119μg/m³
2024-08	96	良	22μg/m³	50μg/m³	47~144	0.532mg/m³	7μg/m³	18μg/m³	152μg/m³
2024-09	84	良	28μg/m³	59μg/m³	34~150	0.573mg/m³	7μg/m³	18μg/m³	138μg/m³
2024-10	74	良	46μg/m³	82μg/m³	31~140	0.623mg/m³	7μg/m³	38μg/m³	92μg/m³
2024-11	82	良	55μg/m³	91μg/m³	30~152	0.747mg/m³	7μg/m³	38μg/m³	56μg/m³
2024-12	84	良	59μg/m³	91μg/m³	52~147	0.739mg/m³	8μg/m³	49μg/m³	53μg/m³
2025-01	119	轻度污染	87μg/m³	126μg/m³	42~306	0.9mg/m³	8μg/m³	48μg/m³	63μg/m³
2025-02	93	良	64μg/m³	98μg/m³	39~218	0.736mg/m³	7μg/m³	36μg/m³	76μg/m³
2025-03	90	良	49μg/m³	116μg/m³	36~208	0.603mg/m³	6μg/m³	35μg/m³	93μg/m³
2025-04	109	轻度污染	52μg/m³	154μg/m³	51~500	0.537mg/m³	7μg/m³	34μg/m³	116μg/m³
2025-05	113	轻度污染	46μg/m³	117μg/m³	55~500	0.513mg/m³	6μg/m³	23μg/m³	141μg/m³
2025-06	100	轻度污染	21μg/m³	49μg/m³	58~146	0.508mg/m³	6μg/m³	20μg/m³	159μg/m³
兰州									
月份	aqi	质量等级	pm2_5	pm10	范围	co	no2	so2	o3
2013-12	111	轻度污染	80μg/m³	149μg/m³	55~164	1.577mg/m³	39μg/m³	34μg/m³	29μg/m³
2014-01	112	轻度污染	81μg/m³	137μg/m³	52~377	1.913mg/m³	45μg/m³	43μg/m³	54μg/m³
2014-02	95	良	66μg/m³	108μg/m³	46~210	1.4mg/m³	38μg/m³	29μg/m³	61μg/m³
2014-03	99	良	51μg/m³	149μg/m³	65~146	1.229mg/m³	48μg/m³	29μg/m³	71μg/m³
2014-04	104	轻度污染	54μg/m³	147μg/m³	42~347	1.348mg/m³	50μg/m³	28μg/m³	68μg/m³
2014-05	95	良	52μg/m³	138μg/m³	57~235	1.317mg/m³	51μg/m³	28μg/m³	97μg/m³
2014-06	77	良	51μg/m³	97μg/m³	57~113	1.16mg/m³	31μg/m³	18μg/m³	85μg/m³
2014-07	70	良	44μg/m³	89μg/m³	46~106	1.016mg/m³	39μg/m³	13μg/m³	78μg/m³
2014-08	73	良	45μg/m³	92μg/m³	38~127	1.026mg/m³	38μg/m³	16μg/m³	78μg/m³
2014-09	71	良	45μg/m³	90μg/m³	40~118	1.147mg/m³	32μg/m³	16μg/m³	69μg/m³
2014-10	75	良	50μg/m³	93μg/m³	29~131	1.265mg/m³	36μg/m³	19μg/m³	65μg/m³
2014-11	95	良	67μg/m³	121μg/m³	42~167	1.863mg/m³	53μg/m³	27μg/m³	44μg/m³
2014-12	116	轻度污染	82μg/m³	148μg/m³	63~206	2.297mg/m³	55μg/m³	39μg/m³	43μg/m³
2015-01	93	良	64μg/m³	118μg/m³	51~190	2.619mg/m³	54μg/m³	42μg/m³	52μg/m³
2015-02	84	良	52μg/m³	109μg/m³	46~162	2.004mg/m³	39μg/m³	26μg/m³	77μg/m³
2015-03	103	轻度污染	51μg/m³	153μg/m³	58~215	1.284mg/m³	44μg/m³	19μg/m³	83μg/m³
2015-04	92	良	45μg/m³	133μg/m³	47~199	0.887mg/m³	43μg/m³	18μg/m³	102μg/m³
2015-05	92	良	45μg/m³	125μg/m³	48~358	0.826mg/m³	45μg/m³	13μg/m³	99μg/m³
2015-06	82	良	40μg/m³	111μg/m³	51~149	0.773mg/m³	43μg/m³	11μg/m³	100μg/m³
2015-07	78	良	44μg/m³	94μg/m³	48~131	1.094mg/m³	47μg/m³	13μg/m³	98μg/m³
2015-08	78	良	37μg/m³	97μg/m³	54~147	0.984mg/m³	46μg/m³	15μg/m³	111μg/m³
2015-09	70	良	37μg/m³	84μg/m³	40~111	1.047mg/m³	47μg/m³	15μg/m³	83μg/m³
2015-10	79	良	41μg/m³	105μg/m³	51~116	1.074mg/m³	50μg/m³	19μg/m³	80μg/m³
2015-11	98	良	66μg/m³	132μg/m³	48~175	1.887mg/m³	67μg/m³	30μg/m³	45μg/m³
2015-12	111	轻度污染	79μg/m³	143μg/m³	40~166	2.429mg/m³	73μg/m³	38μg/m³	36μg/m³
2016-01	98	良	65μg/m³	121μg/m³	39~175	2.042mg/m³	65μg/m³	37μg/m³	53μg/m³
2016-02	125	轻度污染	64μg/m³	163μg/m³	52~451	1.421mg/m³	54μg/m³	26μg/m³	78μg/m³
2016-03	99	良	48μg/m³	143μg/m³	50~159	1.168mg/m³	52μg/m³	15μg/m³	95μg/m³
2016-04	85	良	37μg/m³	112μg/m³	51~142	0.85mg/m³	48μg/m³	10μg/m³	114μg/m³
2016-05	95	良	46μg/m³	117μg/m³	36~325	0.729mg/m³	43μg/m³	10μg/m³	127μg/m³
2016-06	81	良	40μg/m³	95μg/m³	51~120	0.863mg/m³	53μg/m³	10μg/m³	119μg/m³
2016-07	82	良	32μg/m³	84μg/m³	34~124	0.923mg/m³	8μg/m³	41μg/m³	125μg/m³
2016-08	71	良	31μg/m³	78μg/m³	34~129	0.971mg/m³	7μg/m³	34μg/m³	117μg/m³
2016-09	80	良	42μg/m³	100μg/m³	56~99	1.087mg/m³	9μg/m³	58μg/m³	109μg/m³
2016-10	83	良	46μg/m³	114μg/m³	42~159	1.119mg/m³	53μg/m³	14μg/m³	71μg/m³
2016-11	163	中度污染	94μg/m³	264μg/m³	70~500	35mg/m³	2μg/m³	82μg/m³	nanμg/m³
2016-12	140	轻度污染	97μg/m³	200μg/m³	76~203	2.635mg/m³	41μg/m³	101μg/m³	57μg/m³
2017-01	136	轻度污染	62μg/m³	126μg/m³	50~500	1.955mg/m³	72μg/m³	37μg/m³	68μg/m³
2017-02	103	轻度污染	62μg/m³	140μg/m³	54~169	1.636mg/m³	62μg/m³	26μg/m³	93μg/m³
2017-03	86	良	41μg/m³	85μg/m³	60~172	1.132mg/m³	53μg/m³	15μg/m³	102μg/m³
2017-04	113	轻度污染	39μg/m³	96μg/m³	57~500	0.783mg/m³	50μg/m³	10μg/m³	119μg/m³
2017-05	124	轻度污染	36μg/m³	90μg/m³	64~500	0.684mg/m³	48μg/m³	11μg/m³	136μg/m³
2017-06	91	良	37μg/m³	86μg/m³	58~127	0.83mg/m³	48μg/m³	10μg/m³	145μg/m³
2017-07	92	良	30μg/m³	79μg/m³	46~130	0.755mg/m³	41μg/m³	10μg/m³	145μg/m³
2017-08	73	良	30μg/m³	73μg/m³	38~129	0.777mg/m³	9μg/m³	43μg/m³	114μg/m³
2017-09	81	良	39μg/m³	96μg/m³	61~124	0.79mg/m³	52μg/m³	12μg/m³	120μg/m³
2017-10	75	良	41μg/m³	85μg/m³	34~110	1.161mg/m³	51μg/m³	14μg/m³	75μg/m³
2017-11	100	轻度污染	60μg/m³	147μg/m³	74~127	1.987mg/m³	76μg/m³	35μg/m³	66μg/m³
2017-12	160	中度污染	67μg/m³	136μg/m³	68~733	2.581mg/m³	90μg/m³	53μg/m³	33μg/m³
2018-01	88	良	59μg/m³	115μg/m³	0~132	1.835mg/m³	62μg/m³	37μg/m³	54μg/m³
2018-02	75	良	44μg/m³	92μg/m³	0~111	1.561mg/m³	56μg/m³	32μg/m³	80μg/m³
2018-03	46	优	22μg/m³	53μg/m³	0~103	1.19mg/m³	58μg/m³	23μg/m³	105μg/m³
2018-04	49	优	23μg/m³	56μg/m³	0~118	0.81mg/m³	49μg/m³	14μg/m³	119μg/m³
2018-05	57	良	23μg/m³	60μg/m³	0~122	0.606mg/m³	41μg/m³	11μg/m³	126μg/m³
2018-06	90	良	26μg/m³	63μg/m³	49~148	0.713mg/m³	43μg/m³	13μg/m³	146μg/m³
2018-07	74	良	20μg/m³	47μg/m³	0~137	0.665mg/m³	37μg/m³	10μg/m³	124μg/m³
2018-08	70	良	21μg/m³	46μg/m³	34~133	0.716mg/m³	9μg/m³	34μg/m³	120μg/m³
2018-09	62	良	25μg/m³	58μg/m³	33~118	0.733mg/m³	42μg/m³	11μg/m³	97μg/m³
2018-10	71	良	36μg/m³	85μg/m³	0~111	0.871mg/m³	54μg/m³	16μg/m³	90μg/m³
2018-11	65	良	41μg/m³	80μg/m³	0~123	1.487mg/m³	68μg/m³	26μg/m³	59μg/m³
2018-12	89	良	58μg/m³	115μg/m³	0~135	1.652mg/m³	62μg/m³	33μg/m³	39μg/m³
2019-01	87	良	56μg/m³	100μg/m³	48~163	1.677mg/m³	67μg/m³	32μg/m³	54μg/m³
2019-02	75	良	43μg/m³	96μg/m³	50~113	1.046mg/m³	45μg/m³	24μg/m³	75μg/m³
2019-03	84	良	41μg/m³	105μg/m³	56~162	0.942mg/m³	53μg/m³	18μg/m³	107μg/m³
2019-04	88	良	34μg/m³	95μg/m³	47~157	0.687mg/m³	48μg/m³	14μg/m³	135μg/m³
2019-05	98	良	38μg/m³	125μg/m³	49~500	0.577mg/m³	9μg/m³	38μg/m³	119μg/m³
2019-06	71	良	20μg/m³	49μg/m³	36~100	0.587mg/m³	38μg/m³	11μg/m³	119μg/m³
2019-07	90	良	20μg/m³	54μg/m³	53~133	0.687mg/m³	9μg/m³	41μg/m³	145μg/m³
2019-08	83	良	20μg/m³	51μg/m³	40~128	0.765mg/m³	40μg/m³	11μg/m³	135μg/m³
2019-09	64	良	24μg/m³	58μg/m³	35~100	0.777mg/m³	42μg/m³	12μg/m³	106μg/m³
2019-10	66	良	34μg/m³	77μg/m³	30~99	0.99mg/m³	48μg/m³	15μg/m³	66μg/m³
2019-11	80	良	47μg/m³	104μg/m³	53~114	1.273mg/m³	58μg/m³	20μg/m³	52μg/m³
2019-12	97	良	67μg/m³	126μg/m³	46~132	2.071mg/m³	76μg/m³	37μg/m³	45μg/m³
2020-01	88	良	61μg/m³	92μg/m³	54~129	1.658mg/m³	64μg/m³	24μg/m³	64μg/m³
2020-02	77	良	42μg/m³	95μg/m³	48~157	1.197mg/m³	47μg/m³	21μg/m³	99μg/m³
2020-03	80	良	38μg/m³	107μg/m³	57~165	0.894mg/m³	46μg/m³	14μg/m³	105μg/m³
2020-04	82	良	36μg/m³	105μg/m³	52~154	0.743mg/m³	44μg/m³	14μg/m³	119μg/m³
2020-05	81	良	30μg/m³	85μg/m³	42~141	0.652mg/m³	41μg/m³	11μg/m³	130μg/m³
2020-06	84	良	26μg/m³	64μg/m³	51~120	0.69mg/m³	37μg/m³	10μg/m³	138μg/m³
2020-07	85	良	20μg/m³	51μg/m³	40~125	0.671mg/m³	36μg/m³	10μg/m³	138μg/m³
2020-08	72	良	18μg/m³	50μg/m³	40~130	0.8mg/m³	37μg/m³	10μg/m³	122μg/m³
2020-09	59	良	20μg/m³	53μg/m³	36~86	0.73mg/m³	42μg/m³	10μg/m³	91μg/m³
2020-10	66	良	31μg/m³	78μg/m³	46~102	0.761mg/m³	46μg/m³	13μg/m³	78μg/m³
2020-11	87	良	54μg/m³	112μg/m³	32~122	1.363mg/m³	65μg/m³	21μg/m³	56μg/m³
2020-12	80	良	50μg/m³	99μg/m³	44~120	1.632mg/m³	60μg/m³	24μg/m³	45μg/m³
2021-01	88	良	38μg/m³	83μg/m³	50~119	1.739mg/m³	64μg/m³	28μg/m³	47μg/m³
2021-02	73	良	35μg/m³	72μg/m³	49~95	1.261mg/m³	49μg/m³	22μg/m³	80μg/m³
2021-03	179	中度污染	15μg/m³	35μg/m³	57~500	0.897mg/m³	48μg/m³	14μg/m³	84μg/m³
2021-04	80	良	23μg/m³	50μg/m³	35~415	0.627mg/m³	9μg/m³	35μg/m³	93μg/m³
2021-05	83	良	20μg/m³	57μg/m³	44~185	0.584mg/m³	39μg/m³	12μg/m³	119μg/m³
2021-06	77	良	20μg/m³	46μg/m³	44~105	0.513mg/m³	34μg/m³	10μg/m³	127μg/m³
2021-07	90	良	18μg/m³	49μg/m³	38~134	0.506mg/m³	35μg/m³	11μg/m³	146μg/m³
2021-08	81	良	21μg/m³	53μg/m³	44~133	0.568mg/m³	33μg/m³	11μg/m³	134μg/m³
2021-09	64	良	21μg/m³	50μg/m³	35~93	0.677mg/m³	41μg/m³	12μg/m³	110μg/m³
2021-10	58	良	31μg/m³	64μg/m³	41~85	0.694mg/m³	39μg/m³	10μg/m³	79μg/m³
2021-11	85	良	47μg/m³	107μg/m³	52~109	1.05mg/m³	63μg/m³	20μg/m³	58μg/m³
2021-12	90	良	55μg/m³	108μg/m³	49~110	1.506mg/m³	72μg/m³	26μg/m³	38μg/m³
2022-01	90	良	59μg/m³	104μg/m³	58~112	1.684mg/m³	67μg/m³	22μg/m³	54μg/m³
2022-02	67	良	38μg/m³	64μg/m³	40~107	1.057mg/m³	40μg/m³	17μg/m³	84μg/m³
2022-03	94	良	17μg/m³	47μg/m³	51~194	0.842mg/m³	41μg/m³	15μg/m³	98μg/m³
2022-04	92	良	18μg/m³	48μg/m³	32~355	0.643mg/m³	30μg/m³	12μg/m³	110μg/m³
2022-05	78	良	22μg/m³	51μg/m³	41~199	0.616mg/m³	33μg/m³	11μg/m³	125μg/m³
2022-06	84	良	21μg/m³	50μg/m³	49~115	0.55mg/m³	28μg/m³	10μg/m³	140μg/m³
2022-07	92	良	20μg/m³	45μg/m³	47~138	0.542mg/m³	22μg/m³	11μg/m³	149μg/m³
2022-08	67	良	20μg/m³	41μg/m³	32~100	0.568mg/m³	9μg/m³	21μg/m³	116μg/m³
2022-09	70	良	23μg/m³	55μg/m³	48~120	0.56mg/m³	37μg/m³	11μg/m³	119μg/m³
2022-10	61	良	32μg/m³	69μg/m³	39~93	0.626mg/m³	34μg/m³	12μg/m³	94μg/m³
2022-11	74	良	42μg/m³	95μg/m³	51~153	1.047mg/m³	44μg/m³	20μg/m³	79μg/m³
2022-12	103	轻度污染	60μg/m³	150μg/m³	59~172	1.342mg/m³	58μg/m³	27μg/m³	52μg/m³
2023-01	115	轻度污染	66μg/m³	159μg/m³	77~446	1.494mg/m³	56μg/m³	28μg/m³	58μg/m³
2023-02	84	良	55μg/m³	100μg/m³	56~125	1.154mg/m³	54μg/m³	17μg/m³	76μg/m³
2023-03	111	轻度污染	53μg/m³	170μg/m³	55~500	0.797mg/m³	40μg/m³	15μg/m³	99μg/m³
2023-04	118	轻度污染	57μg/m³	174μg/m³	42~500	0.583mg/m³	32μg/m³	10μg/m³	106μg/m³
2023-05	82	良	36μg/m³	89μg/m³	37~206	0.571mg/m³	24μg/m³	10μg/m³	125μg/m³
2023-06	87	良	27μg/m³	57μg/m³	44~120	0.59mg/m³	28μg/m³	10μg/m³	142μg/m³
2023-07	92	良	22μg/m³	48μg/m³	47~127	0.552mg/m³	9μg/m³	29μg/m³	149μg/m³
2023-08	88	良	24μg/m³	55μg/m³	48~252	0.548mg/m³	8μg/m³	26μg/m³	136μg/m³
2023-09	65	良	27μg/m³	51μg/m³	40~117	0.593mg/m³	7μg/m³	31μg/m³	111μg/m³
2023-10	59	良	33μg/m³	53μg/m³	32~99	0.765mg/m³	44μg/m³	10μg/m³	84μg/m³
2023-11	83	良	48μg/m³	105μg/m³	48~130	1.093mg/m³	58μg/m³	17μg/m³	57μg/m³
2023-12	95	良	57μg/m³	125μg/m³	63~250	1.455mg/m³	61μg/m³	22μg/m³	23μg/m³
2024-01	83	良	56μg/m³	106μg/m³	50~104	1.413mg/m³	58μg/m³	24μg/m³	52μg/m³
2024-02	104	轻度污染	61μg/m³	137μg/m³	52~302	0.852mg/m³	28μg/m³	14μg/m³	75μg/m³
2024-03	88	良	45μg/m³	121μg/m³	44~245	0.652mg/m³	32μg/m³	12μg/m³	100μg/m³
2024-04	100	轻度污染	46μg/m³	118μg/m³	49~500	0.433mg/m³	26μg/m³	12μg/m³	110μg/m³
2024-05	87	良	34μg/m³	74μg/m³	40~158	0.4mg/m³	26μg/m³	10μg/m³	139μg/m³
2024-06	88	良	22μg/m³	41μg/m³	56~107	0.377mg/m³	23μg/m³	11μg/m³	145μg/m³
2024-07	93	良	33μg/m³	70μg/m³	65~226	0.481mg/m³	22μg/m³	10μg/m³	140μg/m³
2024-08	84	良	21μg/m³	42μg/m³	43~113	0.5mg/m³	20μg/m³	11μg/m³	139μg/m³
2024-09	54	良	24μg/m³	39μg/m³	38~83	0.513mg/m³	21μg/m³	10μg/m³	99μg/m³
2024-10	54	良	31μg/m³	55μg/m³	43~72	0.652mg/m³	37μg/m³	12μg/m³	82μg/m³
2024-11	67	良	43μg/m³	79μg/m³	43~93	0.817mg/m³	45μg/m³	16μg/m³	69μg/m³
2024-12	79	良	55μg/m³	85μg/m³	47~123	1.097mg/m³	54μg/m³	19μg/m³	57μg/m³
2025-01	85	良	58μg/m³	96μg/m³	58~192	1.174mg/m³	50μg/m³	21μg/m³	68μg/m³
2025-02	66	良	40μg/m³	79μg/m³	47~90	0.696mg/m³	32μg/m³	16μg/m³	89μg/m³
2025-03	94	良	49μg/m³	135μg/m³	51~500	0.61mg/m³	29μg/m³	13μg/m³	100μg/m³
2025-04	122	轻度污染	57μg/m³	186μg/m³	56~500	0.503mg/m³	27μg/m³	13μg/m³	116μg/m³
2025-05	91	良	38μg/m³	97μg/m³	59~172	0.445mg/m³	25μg/m³	12μg/m³	128μg/m³
2025-06	83	良	24μg/m³	48μg/m³	57~108	0.454mg/m³	23μg/m³	11μg/m³	139μg/m³
银川									
月份	aqi	质量等级	pm2_5	pm10	范围	co	no2	so2	o3
2013-12	108	轻度污染	79μg/m³	130μg/m³	52~211	1.897mg/m³	63μg/m³	148μg/m³	35μg/m³
2014-01	91	良	64μg/m³	117μg/m³	49~167	2.197mg/m³	58μg/m³	137μg/m³	42μg/m³
2014-02	97	良	67μg/m³	116μg/m³	34~158	1.329mg/m³	41μg/m³	108μg/m³	58μg/m³
2014-03	96	良	47μg/m³	133μg/m³	53~425	1.323mg/m³	83μg/m³	36μg/m³	80μg/m³
2014-04	88	良	43μg/m³	122μg/m³	58~197	0.928mg/m³	26μg/m³	25μg/m³	109μg/m³
2014-05	77	良	28μg/m³	96μg/m³	49~169	0.929mg/m³	30μg/m³	17μg/m³	111μg/m³
2014-06	70	良	27μg/m³	63μg/m³	48~98	1.123mg/m³	29μg/m³	21μg/m³	117μg/m³
2014-07	71	良	35μg/m³	87μg/m³	47~112	0.848mg/m³	27μg/m³	13μg/m³	101μg/m³
2014-08	64	良	38μg/m³	77μg/m³	50~87	0.839mg/m³	31μg/m³	17μg/m³	84μg/m³
2014-09	64	良	35μg/m³	78μg/m³	43~82	0.917mg/m³	36μg/m³	17μg/m³	60μg/m³
2014-10	76	良	46μg/m³	101μg/m³	34~119	1.065mg/m³	43μg/m³	27μg/m³	62μg/m³
2014-11	98	良	70μg/m³	123μg/m³	52~175	1.47mg/m³	54μg/m³	106μg/m³	43μg/m³
2014-12	90	良	59μg/m³	121μg/m³	57~155	1.387mg/m³	43μg/m³	142μg/m³	40μg/m³
2015-01	115	轻度污染	82μg/m³	154μg/m³	56~220	1.739mg/m³	56μg/m³	176μg/m³	36μg/m³
2015-02	87	良	48μg/m³	118μg/m³	57~144	1.104mg/m³	98μg/m³	34μg/m³	53μg/m³
2015-03	92	良	39μg/m³	127μg/m³	50~318	0.926mg/m³	75μg/m³	32μg/m³	74μg/m³
2015-04	83	良	38μg/m³	116μg/m³	53~164	0.783mg/m³	27μg/m³	21μg/m³	92μg/m³
2015-05	82	良	34μg/m³	109μg/m³	42~150	0.674mg/m³	25μg/m³	18μg/m³	101μg/m³
2015-06	83	良	35μg/m³	103μg/m³	55~145	0.77mg/m³	23μg/m³	18μg/m³	117μg/m³
2015-07	91	良	45μg/m³	112μg/m³	66~135	0.803mg/m³	29μg/m³	17μg/m³	141μg/m³
2015-08	74	良	42μg/m³	95μg/m³	47~121	0.855mg/m³	34μg/m³	19μg/m³	95μg/m³
2015-09	60	良	33μg/m³	71μg/m³	32~82	0.863mg/m³	29μg/m³	17μg/m³	73μg/m³
2015-10	64	良	34μg/m³	76μg/m³	28~112	1.223mg/m³	42μg/m³	30μg/m³	60μg/m³
2015-11	107	轻度污染	76μg/m³	127μg/m³	44~221	1.613mg/m³	92μg/m³	47μg/m³	32μg/m³
2015-12	120	轻度污染	74μg/m³	133μg/m³	43~294	2.058mg/m³	56μg/m³	136μg/m³	52μg/m³
2016-01	106	轻度污染	73μg/m³	116μg/m³	47~210	1.561mg/m³	44μg/m³	117μg/m³	57μg/m³
2016-02	104	轻度污染	70μg/m³	124μg/m³	51~234	1.317mg/m³	41μg/m³	105μg/m³	87μg/m³
2016-03	106	轻度污染	64μg/m³	148μg/m³	56~210	1.023mg/m³	69μg/m³	36μg/m³	94μg/m³
2016-04	79	良	46μg/m³	106μg/m³	53~100	0.76mg/m³	32μg/m³	24μg/m³	113μg/m³
2016-05	105	轻度污染	49μg/m³	139μg/m³	55~500	0.681mg/m³	27μg/m³	23μg/m³	121μg/m³
2016-06	91	良	36μg/m³	81μg/m³	65~143	0.66mg/m³	25μg/m³	22μg/m³	142μg/m³
2016-07	88	良	30μg/m³	73μg/m³	51~143	0.848mg/m³	22μg/m³	17μg/m³	143μg/m³
2016-08	69	良	29μg/m³	65μg/m³	35~110	1.013mg/m³	21μg/m³	15μg/m³	111μg/m³
